sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0046	s0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	1-LG-Q	4.95842494048995	167827.924192037	2AG-ISTD	4.6398942887791	27238.0408317867
s0046	s0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	1-OG-Q	6.20140595387262	671247.906499997	2AG-ISTD	4.6398942887791	27238.0408317867
s0046	s0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	2-LG-Q	4.72115552878469	24774.6522062581	2AG-ISTD	4.6398942887791	27238.0408317867
s0025	s0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	1-LG-Q	4.95834738269933	246504.665701478	2AG-ISTD	4.63594739993578	32345.2053970061
s0025	s0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	1-OG-Q	6.20088547133673	841805.101365909	2AG-ISTD	4.63594739993578	32345.2053970061
s0025	s0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2-LG-Q	4.71828298709322	27830.2179644565	2AG-ISTD	4.63594739993578	32345.2053970061
s0023	s0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-LG-Q	4.95633526252353	230397.167537792	2AG-ISTD	4.62745662874323	37995.939871595
s0023	s0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-OG-Q	6.20099421848164	664193.678999997	2AG-ISTD	4.62745662874323	37995.939871595
s0023	s0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2-LG-Q	4.73087298874455	24373.0809308583	2AG-ISTD	4.62745662874323	37995.939871595
s0048	s0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	1-LG-Q	4.95699089250269	212203.703586893	2AG-ISTD	4.62766657802905	35328.1368175881
s0048	s0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	1-OG-Q	6.19955173985526	854933.707000001	2AG-ISTD	4.62766657802905	35328.1368175881
s0048	s0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	2-LG-Q	4.72526986900837	23707.9192007542	2AG-ISTD	4.62766657802905	35328.1368175881
s0007	s0007_a1	sample	1	a	1	4	2013-11-01 00:56:09:00	1-LG-Q	4.95848585849147	191743.935859911	2AG-ISTD	4.6311453250378	29167.0093398469
s0007	s0007_a1	sample	1	a	1	4	2013-11-01 00:56:09:00	1-OG-Q	6.20338601258662	1058254.08257976	2AG-ISTD	4.6311453250378	29167.0093398469
s0007	s0007_a1	sample	1	a	1	4	2013-11-01 00:56:09:00	2-LG-Q	4.72503934993404	29542.9934743916	2AG-ISTD	4.6311453250378	29167.0093398469
