sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0001_qc	s0001qc_a1	qc	1	a	1	1	2015-03-05 16:49:00	23-dinor-11b-PGF2a	3.861	71	23-dinor-11b-PGF2a_ISTD	5.21	173279
s0001_qc	s0001qc_a1	qc	1	a	1	1	2015-03-05 16:49:00	23-dinor-8-iso-PGF2a	3.451	819	23-dinor-8-iso-PGF2a_ISTD	4.649	40922
s0001_qc	s0001qc_a1	qc	1	a	1	1	2015-03-05 16:49:00	8-iso-PGF3a	3.666	7351	8-iso-PGF3a_ISTD	4.649	40922
s0001_blank	s0001blank_a1	blank	1	a	1	2	2015-03-05 17:03:00	23-dinor-11b-PGF2a			23-dinor-11b-PGF2a_ISTD		
s0001_blank	s0001blank_a1	blank	1	a	1	2	2015-03-05 17:03:00	23-dinor-8-iso-PGF2a			23-dinor-8-iso-PGF2a_ISTD		
s0001_blank	s0001blank_a1	blank	1	a	1	2	2015-03-05 17:03:00	8-iso-PGF3a			8-iso-PGF3a_ISTD		
s0001_qc	s0001qc_a2	qc	2	a	1	3	2015-03-05 17:18:00	23-dinor-11b-PGF2a	4.037	479	23-dinor-11b-PGF2a_ISTD	5.207	165433
s0001_qc	s0001qc_a2	qc	2	a	1	3	2015-03-05 17:18:00	23-dinor-8-iso-PGF2a			23-dinor-8-iso-PGF2a_ISTD	4.644	36653
s0001_qc	s0001qc_a2	qc	2	a	1	3	2015-03-05 17:18:00	8-iso-PGF3a	3.685	8712	8-iso-PGF3a_ISTD	4.644	36653
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2015-03-05 17:32:00	23-dinor-11b-PGF2a	4.029	790	23-dinor-11b-PGF2a_ISTD	5.205	191620
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2015-03-05 17:32:00	23-dinor-8-iso-PGF2a	3.401	646	23-dinor-8-iso-PGF2a_ISTD	4.64	44960
s0001_cal0	s0001cal0_a1	cal	1	a	1	4	2015-03-05 17:32:00	8-iso-PGF3a	3.69	18292	8-iso-PGF3a_ISTD	4.64	44960
s0001_cal1	s0001cal1_a1	cal	1	a	1	5	2015-03-05 17:47:00	23-dinor-11b-PGF2a	3.849	2789	23-dinor-11b-PGF2a_ISTD	5.204	156941
s0001_cal1	s0001cal1_a1	cal	1	a	1	5	2015-03-05 17:47:00	23-dinor-8-iso-PGF2a	3.444	6756	23-dinor-8-iso-PGF2a_ISTD	4.639	40757
s0001_cal1	s0001cal1_a1	cal	1	a	1	5	2015-03-05 17:47:00	8-iso-PGF3a	3.676	8672	8-iso-PGF3a_ISTD	4.639	40757
s0001_cal2	s0001cal2_a1	cal	1	a	1	6	2015-03-05 18:01:00	23-dinor-11b-PGF2a	3.851	4240	23-dinor-11b-PGF2a_ISTD	5.21	155428
s0001_cal2	s0001cal2_a1	cal	1	a	1	6	2015-03-05 18:01:00	23-dinor-8-iso-PGF2a	3.452	12361	23-dinor-8-iso-PGF2a_ISTD	4.643	38071
s0001_cal2	s0001cal2_a1	cal	1	a	1	6	2015-03-05 18:01:00	8-iso-PGF3a	3.683	12255	8-iso-PGF3a_ISTD	4.643	38071
s0001_cal3	s0001cal3_a1	cal	1	a	1	7	2015-03-05 18:15:00	23-dinor-11b-PGF2a	3.854	7675	23-dinor-11b-PGF2a_ISTD	5.209	161227
s0001_cal3	s0001cal3_a1	cal	1	a	1	7	2015-03-05 18:15:00	23-dinor-8-iso-PGF2a	3.441	19401	23-dinor-8-iso-PGF2a_ISTD	4.64	38014
s0001_cal3	s0001cal3_a1	cal	1	a	1	7	2015-03-05 18:15:00	8-iso-PGF3a	3.845	8054	8-iso-PGF3a_ISTD	4.64	38014
s0001_cal4	s0001cal4_a1	cal	1	a	1	8	2015-03-05 18:30:00	23-dinor-11b-PGF2a	3.851	44112	23-dinor-11b-PGF2a_ISTD	5.203	200990
