Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results	
		Name	Data File	Type	Level	Acq. Date-Time	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area
	 	S0002QC_A1	S0002QC_A1.D	Sample		1-1-2010 2:55	36885	789284	30330	495838	9702	1382173	15354	400115	30371	382051	30330	495838
 	 	S0002QC_B1	S0002QC_B1.D	Sample		1-1-2010 3:47	36932	175459	30330	921837	9608	306451	15308	445278	30363	144595	30330	921837
 	 	S0002BLANK_A1	S0002BLANK_A1.D	Sample		1-1-2010 4:40	37236	72	30327	0	9611	1052	15285	202	30410	0	30327	0
 	 	S0002CAL0_A1	S0002CAL0_A1.D	Sample		1-1-2010 5:33	36880	773648	30332	649566	9682	1349471	15352	402126	30377	534355	30332	649566
 	 	S0002CAL2_A1	S0002CAL2_A1.D	Sample		1-1-2010 6:25	36882	808742	30335	680977	9688	1440366	15352	410993	30379	676757	30335	680977
 	 	S0002CAL4_A1	S0002CAL4_A1.D	Sample		1-1-2010 7:18	36882	762350	30330	751143	9630	1608839	15324	409242	30379	1137877	30330	751143
 	 	S0002CAL6_A1	S0002CAL6_A1.D	Sample		1-1-2010 8:11	36877	821214	30346	875952	9636	2423767	15324	415426	30396	3236620	30346	875952
 	 	S0002QC_C1	S0002QC_C1.D	Sample		1-1-2010 9:03	36882	819408	30332	545904	9707	1410834	15362	417252	30374	441567	30332	545904
 	 	S0002BLANK_A2	S0002BLANK_A2.D	Sample		1-1-2010 9:56	37189	84	30261	0	9638	1183	15291	100	30385	0	30261	0
 	 	S0142_A1	S0142_A1.D	Sample		1-1-2010 10:49	36882	991697	30338	783066	9627	750474	15335	446872	30382	974677	30338	783066
 	 	S0150_A1	S0150_A1.D	Sample		1-1-2010 11:41	36877	1549833	30335	660154	9624	434840	15332	386657	30382	1306829	30335	660154
 	 	S0145_A1	S0145_A1.D	Sample		1-1-2010 12:34	36883	1922868	30338	735835	9710	520676	15379	443260	30379	1110062	30338	735835
 	 	S0143_A1	S0143_A1.D	Sample		1-1-2010 13:27	36885	515108	30330	359469	9677	550997	15346	256227	30377	548622	30330	359469
 	 	S0008_A1	S0008_A1.D	Sample		1-1-2010 14:19	36880	695699	30335	813854	9635	1732770	15332	437177	30374	342204	30335	813854
 	 	S0193_A1	S0193_A1.D	Sample		1-1-2010 15:12	36880	306471	30330	680851	9682	1252003	15340	440522	30377	312411	30330	680851
 	 	S0151_A1	S0151_A1.D	Sample		1-1-2010 16:05	36877	631225	30332	733352	9685	1938167	15349	434532	30371	382547	30332	733352
 	 	S0011_B1	S0011_B1.D	Sample		1-1-2010 16:57	36888	648190	30338	817216	9641	1531156	15338	459637	30385	444127	30338	817216
 	 	S0096_A1	S0096_A1.D	Sample		1-1-2010 17:50	36871	325819	30335	739596	9627	2408740	15318	439292	30379	385382	30335	739596
 	 	S0076_A1	S0076_A1.D	Sample		1-1-2010 18:43	36883	344923	30327	489517	9691	1243396	15357	342242	30377	303866	30327	489517
 	 	S0002QC_D1	S0002QC_D1.D	Sample		1-1-2010 19:36	36877	729022	30332	545547	9630	1316071	15324	381541	30374	428551	30332	545547
 	 	S0209_A1	S0209_A1.D	Sample		1-1-2010 20:28	36885	546595	30338	687815	9630	1550036	15316	439671	30377	422286	30338	687815
 	 	S0180_A1	S0180_A1.D	Sample		1-1-2010 21:21	36880	265564	30332	641658	9666	351160	15332	439970	30374	289196	30332	641658
 	 	S0184_A1	S0184_A1.D	Sample		1-1-2010 22:14	36880	400343	30338	736589	9635	316915	15318	467576	30382	500273	30338	736589
 	 	S0183_A1	S0183_A1.D	Sample		1-1-2010 23:06	36885	331678	30332	616357	9702	261868	15349	441949	30371	326542	30332	616357
 	 	S0182_A1	S0182_A1.D	Sample		1-1-2010 23:59	36880	281480	30335	661493	9624	361955	15316	450011	30374	260290	30335	661493
 	 	S0073_B1	S0073_B1.D	Sample		2-1-2010 0:52	36885	1592091	30329	687166	9633	3388585	15324	436823	30374	449901	30329	687166
 	 	S0178_A1	S0178_A1.D	Sample		2-1-2010 1:44	36882	304070	30329	625120	9619	262537	15313	404640	30374	289128	30329	625120
 	 	S0207_A1	S0207_A1.D	Sample		2-1-2010 2:37	36880	559379	30332	776982	9677	2371822	15346	457923	30377	433361	30332	776982
 	 	S0100_A1	S0100_A1.D	Sample		2-1-2010 3:30	36872	569624	30327	672472	9694	908520	15349	432724	30371	550606	30327	672472
 	 	S0070_A1	S0070_A1.D	Sample		2-1-2010 4:22	36877	295926	30327	642021	9693	1285442	15349	451270	30377	347657	30327	642021
 	 	S0002QC_E1	S0002QC_E1.D	Sample		2-1-2010 5:15	36880	837743	30327	590900	9718	1517902	15363	444801	30371	454406	30327	590900
 	 	S0046_A1	S0046_A1.D	Sample		2-1-2010 6:08	36888	2015077	30335	767418	9638	698577	15340	464844	30379	882585	30335	767418
 	 	S0162_A1	S0162_A1.D	Sample		2-1-2010 7:01	36885	322863	30332	769868	9633	1483487	15321	452966	30377	332798	30332	769868
 	 	S0082_A1	S0082_A1.D	Sample		2-1-2010 7:53	36877	270019	30324	671442	9693	1738124	15346	441719	30368	275178	30324	671442
 	 	S0084_B1	S0084_B1.D	Sample		2-1-2010 8:46	36869	360487	30324	631517	9705	1837411	15366	423535	30374	241526	30324	631517
 	 	S0079_A1	S0079_A1.D	Sample		2-1-2010 9:39	36883	844950	30338	675561	9691	1791191	15346	452815	30371	259319	30338	675561
 	 	S0083_A1	S0083_A1.D	Sample		2-1-2010 10:31	36880	528378	30332	643894	9685	665665	15346	444978	30379	669675	30332	643894
 	 	S0080_A1	S0080_A1.D	Sample		2-1-2010 11:24	36877	450355	30329	716181	9638	1428616	15324	459454	30376	316927	30329	716181
	 	S0078_A1	S0078_A1.D	Sample		2-1-2010 12:17	36880	1110353	30332	669894	9635	2331196	15321	454729	30377	478495	30332	669894
	 	S0196_A1	S0196_A1.D	Sample		2-1-2010 13:09	36885	1154339	30332	816473	9721	2561827	15357	451132	30377	599626	30332	816473
 	 	S0210_A1	S0210_A1.D	Sample		2-1-2010 14:02	36882	408794	30332	694383	9696	3190513	15357	464496	30376	388877	30332	694383
 	 	S0002QC_F1	S0002QC_F1.D	Sample		2-1-2010 14:55	36885	894078	30332	688501	9633	1594633	15330	469269	30379	572269	30332	688501
 	 	S0214_A1	S0214_A1.D	Sample		2-1-2010 15:47	36882	604138	30338	766213	9710	1914689	15365	463070	30371	489511	30338	766213
 	 	S0053_B1	S0053_B1.D	Sample		2-1-2010 16:40	36880	492275	30330	756638	9633	726879	15321	477466	30374	480114	30330	756638
 	 	S0095_A1	S0095_A1.D	Sample		2-1-2010 17:33	36891	3263716	30332	695367	9707	4039127	15365	461089	30377	386228	30332	695367
 	 	S0001_A1	S0001_A1.D	Sample		2-1-2010 18:25	36877	504389	30338	740649	9622	896899	15318	460839	30377	684901	30338	740649
 	 	S0061_A1	S0061_A1.D	Sample		2-1-2010 19:18	36888	484924	30335	659918	9624	303712	15318	444288	30374	587627	30335	659918
 	 	S0054_A1	S0054_A1.D	Sample		2-1-2010 20:11	36874	330835	30327	675219	9627	654590	15313	433382	30366	250124	30327	675219
 	 	S0055_A1	S0055_A1.D	Sample		2-1-2010 21:04	36882	582698	30330	763968	9627	496950	15316	468580	30371	436149	30330	763968
 	 	S0052_A1	S0052_A1.D	Sample		2-1-2010 21:56	36877	439727	30327	771748	9627	872764	15321	473581	30368	304083	30327	771748
 	 	S0053_A1	S0053_A1.D	Sample		2-1-2010 22:49	36872	436670	30332	623998	9624	635734	15310	416688	30374	397518	30332	623998
 	 	S0214_B1	S0214_B1.D	Sample		2-1-2010 23:42	36880	634504	30335	789305	9704	1963947	15363	457459	30374	539725	30335	789305
 	 	S0002QC_G1	S0002QC_G1.D	Sample		3-1-2010 0:34	36882	823633	30332	597097	9688	1568158	15351	454870	30379	470455	30332	597097
 	 	S0007_A1	S0007_A1.D	Sample		3-1-2010 1:27	36874	399846	30332	832990	9633	997450	15329	451460	30379	1176706	30332	832990
 	 	S0005_A1	S0005_A1.D	Sample		3-1-2010 2:20	36880	981108	30338	718355	9721	6157199	15368	474883	30382	681185	30338	718355
 	 	S0004_A1	S0004_A1.D	Sample		3-1-2010 3:12	36871	732841	30338	921467	9635	1906483	15327	482076	30382	871690	30338	921467
 	 	S0020_A1	S0020_A1.D	Sample		3-1-2010 4:05	36877	453692	30332	776271	9630	421163	15327	471765	30385	1687723	30332	776271
 	 	S0006_A1	S0006_A1.D	Sample		3-1-2010 4:58	36871	617924	30330	804736	9627	1842007	15332	435607	30376	837117	30330	804736
