ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	S0002BLANK_A1.lcd	Unknown	3,497	197	7,58	-----	-----	11/03/15 12:44
2	S0002BLANK_A2.lcd	Unknown	3,355	439	4,42	-----	-----	11/03/15 15:08
3	S0002BLANK_B1.lcd	Unknown	3,345	432	7,11	-----	-----	12/03/15 16:20
4	S0002BLANK_B2.lcd	Unknown	3,485	234	1,38	-----	-----	12/03/15 18:44
5	S0002CAL0_A1.lcd	Unknown	3,457	388	1,09	47217	4,518	11/03/15 13:13
6	S0002CAL0_A2.lcd	Unknown	3,42	404	1,15	41051	4,549	12/03/15 16:49
7	S0002CAL1_A1.lcd	Unknown	3,523	1079	2,85	45289	4,514	11/03/15 13:27
8	S0002CAL1_A2.lcd	Unknown	3,345	5722	16,4	43056	4,544	12/03/15 17:03
9	S0002CAL2_A1.lcd	Unknown	3,408	66	0,56	50785	4,514	11/03/15 13:42
10	S0002CAL2_A2.lcd	Unknown	3,436	154	0,4	39116	4,548	12/03/15 17:17
11	S0002CAL3_A1.lcd	Unknown	3,434	298	0,55	48201	4,508	11/03/15 13:56
12	S0002CAL3_A2.lcd	Unknown	3,475	630	1,79	43540	4,542	12/03/15 17:32
13	S0002CAL4_A1.lcd	Unknown	3,32	111905	404,11	52472	4,516	11/03/15 14:10
14	S0002CAL4_A2.lcd	Unknown	3,477	573	1,83	44476	4,546	12/03/15 17:46
15	S0002CAL5_A1.lcd	Unknown	3,311	178036	479,5	46741	4,509	11/03/15 14:25
16	S0002CAL5_A2.lcd	Unknown	3,477	268	2,4	37552	4,541	12/03/15 18:01
17	S0002CAL6_A1.lcd	Unknown	3,308	346665	663,92	51860	4,505	11/03/15 14:39
18	S0002CAL6_A2.lcd	Unknown	3,341	321901	822,79	44005	4,539	12/03/15 18:15
19	S0002QC_A1.lcd	Unknown	3,463	634	1,54	50056	4,513	11/03/15 12:29
20	S0002QC_A2.lcd	Unknown	3,509	588	0,41	43400	4,514	11/03/15 12:58
21	S0002QC_B1.lcd	Unknown	3,442	384	0,92	48134	4,515	11/03/15 14:54
22	S0002QC_B2.lcd	Unknown	3,508	516	2,06	43809	4,516	11/03/15 15:22
23	S0002QC_C1.lcd	Unknown	3,372	683	0,93	44933	4,51	11/03/15 17:47
24	S0002QC_C2.lcd	Unknown	3,46	750	1,31	47179	4,576	12/03/15 00:44
25	S0002QC_D1.lcd	Unknown	3,38	463	3,25	46397	4,573	12/03/15 03:23
26	S0002QC_D2.lcd	Unknown	3,452	673	1,72	45609	4,577	12/03/15 06:01
27	S0002QC_E1.lcd	Unknown	3,424	307	1,6	46365	4,556	12/03/15 08:39
28	S0002QC_E2.lcd	Unknown	3,46	340	1,52	48498	4,541	12/03/15 11:18
29	S0002QC_F1.lcd	Unknown	3,479	220	0,73	40360	4,554	12/03/15 13:56
30	S0002QC_G1.lcd	Unknown	3,408	783	0,85	38061	4,545	12/03/15 16:06
31	S0002QC_G2.lcd	Unknown	3,491	940	1,04	36700	4,54	12/03/15 16:34
32	S0002QC_H1.lcd	Unknown	3,375	505	1,02	37196	4,553	12/03/15 18:30
