Quantify Compound Summary Report 

Printed Fri Apr 20 12:27:30 2012

Compound 1:  L-histidine

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	ug/ml	%Dev	Acq.Date	Acq.Time	ID
91	91	S01SST_A1	SST	Analyte		1.58	42	142750	0.000	bbI	0.0		12-Apr-12	16:46:45	Batch01_000
92	92	S01SST_A2	SST	Analyte		1.57	51	141357	0.000	bbI	0.0		12-Apr-12	16:57:10	Batch01_000
93	93	S01SST_A3	SST	Analyte		1.53	34	140665	0.000	bbI	0.0		12-Apr-12	17:07:35	Batch01_000
94	94	S01SST_A4	SST	Analyte		1.57	9	140757	0.000	bbI	0.0		12-Apr-12	17:18:01	Batch01_000
95	95	S01SST_A5	SST	Analyte		1.56	17	142550	0.000	bbI	0.0		12-Apr-12	17:28:27	Batch01_000
78	78	S01QC_A1	QC	QC	0.000	1.54	22931	133671	0.101	bb	0.1		12-Apr-12	17:38:53	Batch01_001
56	56	S01Blank_A1	Blank	Solvent		1.54	9	2	3.023	bb	335.6		12-Apr-12	17:49:18	Batch01_002
79	79	S01QC_A2	QC	QC	0.000	1.53	23811	136249	0.103	bb	0.3		12-Apr-12	17:59:44	Batch01_003
66	66	S01CAL6_A1	Calibration	Standard	32.350	1.53	81441	128031	0.375	bb	31.6	-2.4	12-Apr-12	18:10:09	Batch01_004
62	62	S01CAL2_A1	Calibration	Standard	2.020	1.52	27554	142058	0.114	bb	1.6	-18.8	12-Apr-12	18:20:35	Batch01_005
61	61	S01CAL1_A1	Calibration	Standard	1.010	1.53	26909	147085	0.108	bb	0.9	-11.5	12-Apr-12	18:31:01	Batch01_006
63	63	S01CAL3_A1	Calibration	Standard	4.040	1.53	31551	143671	0.130	bb	3.4	-16.4	12-Apr-12	18:41:26	Batch01_007
64	64	S01CAL4_A1	Calibration	Standard	8.090	1.51	37853	140080	0.159	bb	6.8	-15.9	12-Apr-12	18:51:51	Batch01_008
67	67	S01CAL7_A1	Calibration	Standard	64.710	1.52	149834	136692	0.647	bb	62.8	-3.0	12-Apr-12	19:02:17	Batch01_009
60	60	S01CAL0_A1	Calibration	Standard	0.000	1.53	26404	149398	0.104	bb	0.5		12-Apr-12	19:12:43	Batch01_010
65	65	S01CAL5_A1	Calibration	Standard	16.180	1.52	55624	143428	0.229	bb	14.8	-8.7	12-Apr-12	19:23:08	Batch01_011
68	68	S01CAL8_A1	Calibration	Standard	129.420	1.52	285705	133947	1.258	bb	133.0	2.8	12-Apr-12	19:33:34	Batch01_012
80	80	S01QC_B1	QC	QC	0.000	1.53	25395	147170	0.102	bb	0.2		12-Apr-12	19:43:59	Batch01_013
57	57	S01Blank_B1	Blank	Solvent		1.53	22	5	2.382	bb	262.0		12-Apr-12	19:54:25	Batch01_014
81	81	S01QC_B2	QC	QC	0.000	1.50	24693	146358	0.100	bbI	0.0		12-Apr-12	20:04:50	Batch01_015
49	49	S0125_A1	S40-3mnd-0	Analyte		1.52	21643	150339	0.085	bbI	0.0		12-Apr-12	20:15:15	Batch01_016
54	54	S0142_A1	C10-10	Analyte		1.52	23143	145225	0.094	bbI	0.0		12-Apr-12	20:25:40	Batch01_017
53	53	S0141_A1	C9-10	Analyte		1.53	28738	142752	0.119	bb	2.1		12-Apr-12	20:36:06	Batch01_018
45	45	S0121_B1	S25-3mnd-0	Analyte		1.52	28585	148356	0.114	bb	1.6		12-Apr-12	20:46:31	Batch01_019
41	41	S0107_A1	S67-M2-10	Analyte		1.52	24633	148565	0.098	bbI	0.0		12-Apr-12	20:56:56	Batch01_020
40	40	S0106_A1	S67-M1-10	Analyte		1.53	27488	146008	0.111	bb	1.3		12-Apr-12	21:07:21	Batch01_021
44	44	S0121_A1	S25-3mnd-0	Analyte		1.54	24926	149847	0.098	bbI	0.0		12-Apr-12	21:17:46	Batch01_022
55	55	S0143_A1	C11-10	Analyte		1.54	26711	143686	0.110	bb	1.1		12-Apr-12	21:28:12	Batch01_023
50	50	S0134_A1	C2-10	Analyte		1.55	26043	147115	0.104	bb	0.5		12-Apr-12	21:38:38	Batch01_024
82	82	S01QC_C1	QC	QC	0.000	1.55	23489	145092	0.096	bbI	0.0		12-Apr-12	21:49:03	Batch01_025
17	17	S0058_A1	S44-M1-10	Analyte		1.54	21430	147021	0.086	bbI	0.0		12-Apr-12	21:59:28	Batch01_026
18	18	S0059_A1	S44-M2-10	Analyte		1.54	17174	151461	0.067	bbI	0.0		12-Apr-12	22:09:53	Batch01_027
8	8	S0034_B1	S30-M1-10	Analyte		1.54	26557	144844	0.108	bb	0.9		12-Apr-12	22:20:18	Batch01_028
19	19	S0060_A1	S44-3mnd-10	Analyte		1.54	21536	148353	0.086	bbI	0.0		12-Apr-12	22:30:44	Batch01_029
42	42	S0118_A1	S6-3mnd-0	Analyte		1.54	22469	147841	0.090	bbI	0.0		12-Apr-12	22:41:09	Batch01_030
7	7	S0034_A1	S30-M1-10	Analyte		1.53	24273	146806	0.098	bbI	0.0		12-Apr-12	22:51:34	Batch01_031
10	10	S0036_A1	S30-3mnd-10	Analyte		1.53	19711	148496	0.078	bbI	0.0		12-Apr-12	23:01:59	Batch01_032
9	9	S0035_A1	S30-M2-10	Analyte		1.53	19227	144687	0.078	bbI	0.0		12-Apr-12	23:12:24	Batch01_033
6	6	S0023_B1	S14-M2-10	Analyte		1.54	19801	143742	0.081	bbI	0.0		12-Apr-12	23:22:49	Batch01_034
83	83	S01QC_C2	QC	QC	0.000	1.55	23726	147108	0.095	bbI	0.0		12-Apr-12	23:33:14	Batch01_035
13	13	S0042_A1	S32-3mnd-10	Analyte		1.55	18268	147028	0.073	bbI	0.0		12-Apr-12	23:43:39	Batch01_036
12	12	S0041_A1	S32-M2-10	Analyte		1.54	19640	144368	0.080	bbI	0.0		12-Apr-12	23:54:04	Batch01_037
11	11	S0040_A1	S32-M1-10	Analyte		1.55	24610	146584	0.099	bbI	0.0		13-Apr-12	00:04:29	Batch01_038
